rua,bairro,numero,cep,cidade,estado,pais
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
R. do Cruzeiro,Nao possui Bairro, 155,58270-000,Araçagi,PB,Brasil
R. B de Pontes,Bairro Novo,155,58200-000,Guarabira,PB,Brasil
Tv. Luís P. Carvalho,Bairro Novo,40,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,672,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Joca Carteiro,João Cassimiro,185,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,2005,58200-000,Guarabira,PB,Brasil
R. São Manoel,Bela Vista,181,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Raul Gomes da Costa,Nordeste,115,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Bila Alverga,Esplanada,196,58200-000,Guarabira,PB,Brasil
R. Cônego Vicente Pímentel,Centro,20,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 1532,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Afrânio Peixoto,Conj. Chateaubriand,142,58200-000,Guarabira,PB,Brasil
R. Joca Ataíde,Bairro Novo,285,58200-000,Guarabira,PB,Brasil
Av. Feliciano Batista de Amorim,Bairro Novo,650,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Lodônio R de Bulhões,Alto Boa Vista,1377,58200-000,Guarabira,PB,Brasil
R. Luís Porpino da Silva,Areia Branco,132,58200-000,Guarabira,PB,Brasil
R. Edvardo Toscano,Bela Vista,130,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Rubéns Coelho Pereira Filho,Alto Boa Vista,314,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
R. Luís Porpino da Silva,Conj. Osmar de Aquino,216,58200-000,Guarabira,PB,Brasil
R. Principal,Cachoeira,41,58205-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 1422,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Centro,1,58208-000,Cuitegi,PB,Brasil
R. Mal. Deodoro da Fonseca,Centro,37,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,126,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Manoel Ramiro,Rosário,114,58200-000,Guarabira,PB,Brasil
Av. Feliciano Batista de Amorim,Bom Jesus,1083,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
PB-073,Bairro Novo,657,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 1279,58200-000,Guarabira,PB,Brasil
R. Edvardo Toscano,Bela Vista,130,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 1279,58200-000,Guarabira,PB,Brasil
R. Carmélia Guedes,Nordeste II,194,58200-000,Guarabira,PB,Brasil
R. Carmélia Guedes,Nordeste II,194,58200-000,Guarabira,PB,Brasil
PB-075,Conj. Osmar de Aquino,75,58200-000,Guarabira,PB,Brasil
R. Paulino Pinto,Nordeste II,186,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,459,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Rosário,43,58200-000,Guarabira,PB,Brasil
R. Nilson Epaminondas de Almeida,Cj Joao Cassimiro,143,58200-000,Guarabira,PB,Brasil
R. Dr. José Taváres de Andrade,Santa Terezinha,20,58200-000,Guarabira,PB,Brasil
R. Carlos Chagas,Conj. Chateaubriand,162,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Francisco Marinho de Sousa,Cuitegi,138,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
PB-073,Distrito Industrial,24,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,350,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Santa Isabel,Nordeste,263,58200-000,Guarabira,PB,Brasil
R. John Kenedy,Bairro Novo,240,58200-000,Guarabira,PB,Brasil
R. Guarani,Nordeste,45,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 703,58208-000,Cuitegi,PB,Brasil
Av. Rui Barbosa,Centro,268,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Esplanada,260,58200-000,Guarabira,PB,Brasil
R. Padre Ibiapina,Nao possui Bairro, 209,58200-000,Guarabira,PB,Brasil
R. Felipe Rodrigues,Nao possui Bairro, 104,58270-000,Araçagi,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. Sra. da Luz,Nao possui Bairro, 15,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. Cônego Matias Freire,Cordeiro,176,58200-000,Guarabira,PB,Brasil
R. Cônego Matias Freire,Cordeiro,104,58200-000,Guarabira,PB,Brasil
R. José de Oliveira Madruga,São José,150,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Nilo Pequeno de Moura,Bairro Novo,14,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 155,58200-000,Guarabira,PB,Brasil
R. Bila Alverga,Esplanada,214,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 703,58208-000,Cuitegi,PB,Brasil
R. Lodônio R de Bulhões,Cordeiro,1273,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,264,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Rosil Guedes,Nordeste,58,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,306,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. São Manoel,Bela Vista,19,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Rosil Guedes,Nordeste,66,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. São Manoel,Bela Vista,01,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. Josué Pímentel,Bela Vista,86,58200-000,Guarabira,PB,Brasil
R. Bianor Ramos Amaral,Nordeste,179,58200-000,Guarabira,PB,Brasil
R. José Luís de Souza,Alto Boa Vista,231,58200-000,Guarabira,PB,Brasil
R. José Marinho de Lucena,Cuitegi,311,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José Joaquim de Melo,Cuitegi,326,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. José Álvares Trigueiro,Bairro Novo,615,58200-000,Guarabira,PB,Brasil
R. José Henrique de Bulhões,Primavera,235,58200-000,Guarabira,PB,Brasil
R. Hermenegildo de Almeida,Esplanada,21,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Pirpiri,Pirpiri,202,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. João Francisco da Silva,Cordeiro,26,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,582,58200-000,Guarabira,PB,Brasil
R. Manoel Jose dos Santos,Bairro Novo,47,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
Av. Padre Inácio de Almeida,Centro,120,58200-000,Guarabira,PB,Brasil
R. Celina Pinto,Nordeste II,360,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Alto Boa Vista,1413,58200-000,Guarabira,PB,Brasil
Rua José Américo,Nordeste,20,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
Av. Argentina,Nações,485,58200-000,Guarabira,PB,Brasil
R. Hermenegildo de Almeida,Esplanada,45,58200-000,Guarabira,PB,Brasil
R. Adélia de França,Cordeiro,40,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Primavera,601,58200-000,Guarabira,PB,Brasil
R. Norte,Rosário,68,58200-000,Guarabira,PB,Brasil
R. Josué Pímentel,Bela Vista,54,58200-000,Guarabira,PB,Brasil
R. Rozil Guedes,Nordeste II,106,58200-000,Guarabira,PB,Brasil
R. José de Oliveira Madruga,São José,150,58200-000,Guarabira,PB,Brasil
R. Luiz Porpino da Silva,Nao possui Bairro, 894,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road - Nordeste,Nao possui Bairro,Sem Numero,58200-000,Unnamed Road,Nordeste,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. São Tomé,Nordeste I,49,58200-000,Guarabira,PB,Brasil
R. Augusto de Almeida,Bairro Novo,416,58200-000,Guarabira,PB,Brasil
R. Hermenegildo de Almeida,São José,113,58200-000,Guarabira,PB,Brasil
R. Prof. Mariana Marques Leite,Cordeiro,1,58200-000,Guarabira,PB,Brasil
R. José da Cunha Rego,Bairro Novo,729,58200-000,Guarabira,PB,Brasil
R. João Lordão,Nordeste,93,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Feliciano Batista de Amorim,Bairro Novo,650,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Dep. José Rocha,Nao possui Bairro, 307,58270-000,Araçagi,PB,Brasil
PB-057,Nao possui Bairro, 77,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 223,58200-000,Guarabira,PB,Brasil
R. Maria Batista da Silva Costa Barbosa,Conj. Santo Amaro,160,58270-000,Araçagi,PB,Brasil
PB-073,Nao possui Bairro, 137,58200-000,Guarabira,PB,Brasil
R. Santo Amaral,Cj Clovis Bezerra,53,58200-000,Guarabira,PB,Brasil
R. São Luís,São José,297,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 31,58208-000,Cuitegi,PB,Brasil
R. José Bonifácio,Juá,590,58200-000,Guarabira,PB,Brasil
R. Aristídes Vilar,Conj. Chateaubriand,167,58200-000,Guarabira,PB,Brasil
R. Cel. Joao Pimentel,Centro,320,58200-000,Guarabira,PB,Brasil
R. Joca Carteiro,João Cassimiro,161,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,672,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 77,58200-000,Guarabira,PB,Brasil
Sitio Contento Zona rural - Guarabira,Nao possui Bairro,Sem Numero,58200-000,Sitio Contento Zona rural,Guarabira,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 173,58200-000,Guarabira,PB,Brasil
R. Luiz Porpino da Silva,Conj. Osmar de Aquino,681,58200-000,Guarabira,PB,Brasil
R. Francisco Alves de Andrade,Nao possui Bairro, 345,58200-000,Guarabira,PB,Brasil
R. Jorge Francisco da Costa,Guarabira,251,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Rua: Josué Pimentel,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Projetada,Mutirão,20,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Manoel Roberto Araujo,Cachoeira,49,58205-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 286,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,134,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Benjamim Morais Frazao,Nordeste,55,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Henrique Pacífico,Bela Vista,250,58200-000,Guarabira,PB,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,101,58200-000,Guarabira,PB,Brasil
R. Eutália B.Carvalho,Nordeste,54,58200-000,Guarabira,PB,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,465,58200-000,Guarabira,PB,Brasil
Av. Feliciano Batista de Amorim,Bairro Novo,650,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Carlos Fernandes de Mendonça,Nao possui Bairro, 101,58270-000,Araçagi,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. José Joaquim de Melo,Nao possui Bairro, 213,58208-000,Cuitegi,PB,Brasil
R. Antonio Galdino Guedes,Cachoeira,60,58205-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 173,58200-000,Guarabira,PB,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,465,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,Nao possui CEP,Cuitegi,PB,Brasil
R. Otacílio Líra Cabral,Nao possui Bairro, 496,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,Cuitegi,PB,Brasil
R. Antônio de Freitas Albuquerque,Santa Terezinha,69,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Tranquilo Xavier,Guarabira,464,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. José da Cunha Rego,Bairro Novo,735,58200-000,Guarabira,PB,Brasil
R. Luís Galvão,Bairro Novo,489,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
4HGV+P6 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
Tv. Profa. Maria Vamberta,Rosário,127,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
Rua José Américo,Nordeste,529,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Dep. José Rocha,Nao possui Bairro, 479,58270-000,Araçagi,PB,Brasil
R. Silvino Marcolino da Silva,Nao possui Bairro, 228,58270-000,Araçagi,PB,Brasil
R. Carlos Fernandes de Mendonça,Nao possui Bairro, 49,58270-000,Araçagi,PB,Brasil
R. Joao Alfredo A Galvao,Santa Terezinha,311,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Artur Pontes,São José,138,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Ana Bulhões,Primavera,381,58200-000,Guarabira,PB,Brasil
R. Bianor Ramos Amaral,Nordeste I,20,58200-000,Guarabira,PB,Brasil
R. Luiz Porpino da Silva,Areia Branca,340,58200-000,Guarabira,PB,Brasil
R. Dom Marcelo Pinto Carvalheira,Nao possui Bairro, 1318,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
R. Benjamin Frazalo,Nordeste,126,58200-000,Guarabira,PB,Brasil
PB-073,Bela Vista,405,58200-000,Guarabira,PB,Brasil
R. Padre Ricardo,Cordeiro,250,58200-000,Guarabira,PB,Brasil
R. Delfino Cosme,Nordeste,355,58200-000,Guarabira,PB,Brasil
R. Osvaldo Azevedo,Conj. Chateaubriand,56,58200-000,Guarabira,PB,Brasil
R. Augusto de Almeida,Centro,273,58200-000,Guarabira,PB,Brasil
R. Ana Bulhões,Primavera,284,58200-000,Guarabira,PB,Brasil
R. José Henrique de Bulhões,Primavera,229,58200-000,Guarabira,PB,Brasil
R. José Henrique de Bulhões,Primavera,253,58200-000,Guarabira,PB,Brasil
Av. Napoleao Laureano,Bairro Novo,854,58200-000,Guarabira,PB,Brasil
Sítio Chã do Bodeiro Município de,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. José de Oliveira Madruga,São José,53,58200-000,Guarabira,PB,Brasil
R. Eliane Paula Guedes,A Definir,47,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Luís Galvão,Bairro Novo,540,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Felipe Rodrigues,Nao possui Bairro, 29,58270-000,Araçagi,PB,Brasil
R. Maria Pimentel da Cunha,Cuitegi,107,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Dom Pedro II,Centro,201,58200-000,Guarabira,PB,Brasil
Sítio Contendas,Nao possui Bairro,Sem Numero,Nao possui CEP,Caruaru,PE,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. B,Cuitegi,21,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José Joaquim de Melo,Centro,1,58208-000,Cuitegi,PB,Brasil
R. Antonieta M Mendes,Santa Terezinha,106,58200-000,Guarabira,PB,Brasil
R. Santa Isabel,Nordeste I,243,58200-000,Guarabira,PB,Brasil
Av. Olívio Maroja,Nao possui Bairro, 1015,58270-000,Araçagi,PB,Brasil
73 - R. Luís Galvão,R. Luís Galvão,73,58200-000,Guarabira,PB,Brasil
R. Afrânio Peixoto,Conj. Chateaubriand,19,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Bairro Novo,744,58200-000,Guarabira,PB,Brasil
R. José Tomás dos Santos,Cuitegi,320,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Henrique Pacífico,Primavera,158,58200-000,Guarabira,PB,Brasil
R. Boa Vista,Rosário,95,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Bela Vista,198,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,321,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Artur Pontes Silva,São José,55,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Vinte e Dois de Julho,Conj. Santo Amaro,12,58270-000,Araçagi,PB,Brasil
R. Eliane Paula Guedes,A Definir,18,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Sebastião Araújo,Assis Chateaubriand,6,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Luis Augusto Ferreira,Alto Boa Vista,235,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Tv. Bela Vista,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
Tv. Bela Vista,Piloezinhos,53,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Rodrigues de Carvalho,Assis Chateaubriand,106,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Artur Pontes,São José,246,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Tv. Bela Vista,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
Tv. Bela Vista,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Otacílio Líra Cabral,Areia Branca,390,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Manoel Alves de Souza,Nao possui Bairro, 218,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Cel. Mauricio Costa,Areia Branca,330,58200-000,Guarabira,PB,Brasil
R. Pirpiri,Pirpiri,745,58200-000,Guarabira,PB,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,582,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Travessa Jardim,Bela Vista,66,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Tv. Bela Vista,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
Tv. Bela Vista,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Ver. Sebastião Galdino,Cuitegi,23,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Tv. Luís Porpino da Silva,Areia Branca,7020,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,569,58200-000,Guarabira,PB,Brasil
R. José Fortunato Filho,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Ver. Francisco Elias,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Rui Barbosa,Primavera,337,58200-000,Guarabira,PB,Brasil
R. 3 de Maio,Centro,54,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,373,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Santo Antônio,Nao possui Bairro, 558,58270-000,Araçagi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Ana Bulhões,Primavera,361,58200-000,Guarabira,PB,Brasil
R. Cleodom Coelho,Bairro Novo,838,58200-000,Guarabira,PB,Brasil
R. Luís Porpino da Silva,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 77,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
